id,name,description,condition,flag_level,risk_increment,is_active,created_at
402ae868-176e-44d3-b707-388b78f6bca3,SWIFT Origination High Count Low Avg,Rule to detect swift origination high count low avg,t.origination = 'SWIFT' AND uts.trans_count_30d > 70 AND uts.avg_30d < 1500,High,14.1,TRUE,2025-06-18 12:37:16.314845
83f3e20d-29fb-4c7f-8b18-ed84197c7bc4,Mobile Origination with High Avg and Count,Rule to detect mobile origination with high avg and count,t.origination = 'Mobile' AND uts.avg_15d > 4000 AND uts.trans_count_15d > 40,Low,12.66,TRUE,2025-06-18 12:37:16.315195
4a744065-dbae-4e2c-8666-c84065e45f84,Frequent POS Transactions by Lawyers,Rule to detect frequent pos transactions by lawyers,t.occupation = 'Lawyer' AND t.origination = 'POS' AND uts.trans_count_30d > 60,Low,4.86,TRUE,2025-06-18 12:37:16.315608
4fc8a543-3d67-4c81-82b5-d29773c0996c,ACH Origination High Sum Low Avg,Rule to detect ach origination high sum low avg,t.origination = 'ACH' AND uts.sum_90d > 350000 AND uts.avg_90d < 2000,Low,9.53,TRUE,2025-06-18 12:37:16.315948
2f7a7a3d-7b1d-404b-88f3-b578408dfdd6,High Average Transaction 15d,Rule to detect high average transaction 15d,uts.avg_15d > 5000,Low,14.64,TRUE,2025-06-18 12:32:31.958059
1cc46a71-c765-4d06-9e94-030a4424bf7d,High Total Transaction 30d,Rule to detect high total transaction 30d,uts.sum_30d > 250000,Low,9.43,TRUE,2025-06-18 12:32:31.958221
29e38011-228f-4f89-a119-aa8e579b0be3,Unusual Increase in Avg 15d vs 30d,Rule to detect unusual increase in avg 15d vs 30d,uts.avg_15d > 2 * uts.avg_30d,High,6.08,TRUE,2025-06-18 12:32:31.958588
3fcdab3d-7e8a-4762-a88c-5c6a9ba81f9b,Spike in Transaction Count 15d,Rule to detect spike in transaction count 15d,uts.trans_count_15d > 100,High,19.7,TRUE,2025-06-18 12:32:31.958876
1f9f592b-4288-42ee-9dc5-4d4edb473724,High Avg and Sum Combined 60d,Rule to detect high avg and sum combined 60d,uts.avg_60d > 3000 AND uts.sum_60d > 250000,High,10.36,TRUE,2025-06-18 12:32:31.959034
4ea017c0-f545-4365-9fce-524a59922e06,Avg Exceeds Threshold 90d,Rule to detect avg exceeds threshold 90d,uts.avg_90d > 8000,Medium,15.74,TRUE,2025-06-18 12:32:31.959819
03ee5bda-293a-4c64-a02d-c2da7ffee1f7,High Frequency 30d Low Value,Rule to detect high frequency 30d low value,uts.trans_count_30d > 80 AND uts.avg_30d < 1500,Medium,17.64,TRUE,2025-06-18 12:32:31.960172
b13f7247-3861-4ec1-b128-ce2dc9ac5bf2,Suspicious Spike in Sum 90d,Rule to detect suspicious spike in sum 90d,uts.sum_90d > 350000 AND uts.sum_60d < 100000,Low,19.48,TRUE,2025-06-18 12:32:31.960227
cb13dcc2-639c-4cf5-a2db-9e889c3f5dcc,Large Count Low Avg 60d,Rule to detect large count low avg 60d,uts.trans_count_60d > 120 AND uts.avg_60d < 1000,Medium,17.06,TRUE,2025-06-18 12:32:31.960582
9b58badf-c219-42d5-982a-e240108791dc,High Volume Recent Activity,Rule to detect high volume recent activity,uts.sum_15d + uts.sum_30d > 300000 AND uts.trans_count_15d > 50,High,13.38,TRUE,2025-06-18 12:32:31.961331
